Number,Year,Mo,Dy,Tsu,Eq,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Agent,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Impact
609,2002,11,3,,,Reventador,Ecuador,Ecuador,-1.17.00,-87.56.00,3562,Stratovolcano,4,I,,1,,,,1,,1,,1,4
610,2002,12,30,2923,,Stromboli,Italy,Italy,51.09.00,18.33,924,Stratovolcano,,,,,,,,1,,1,,1,3
611,2002,,,,,Semeru,Java,Indonesia,-9.48.00,127.22.00,3657,Stratovolcano,3,T,3,1,,,,,,,,,1
612,2004,1,29,,,Egon,Lesser Sunda Is,Indonesia,-19.16.00,129.35.00,1661,Stratovolcano,1,T,1,1,,,,,,,,,1
613,2004,6,8,,,Tengger Caldera,Java,Indonesia,-22.42.00,113.35.00,2329,Stratovolcano,2,T,2,1,,,5,1,,,,,2
614,2004,10,24,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08.00,145.37.00,1807,Stratovolcano,4,T,5,1,,,,,,,,,1
615,2005,1,27,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08.00,145.37.00,1807,Stratovolcano,4,T,1,1,,,14,1,,,,,2
616,2005,10,1,,,Santa Ana,El Salvador,El Salvador,27.13.00,-90.03.00,2381,Stratovolcano,3,A,2,1,,,,1,,,,,2
617,2005,11,25,,,Karthala,Indian O-W,Comoros,-12.15.00,43.38.00,2361,Stratovolcano,3,T,1,1,,,,,,1,,,2
618,2006,3,17,,,Raoul Island,Kermadec Is,New Zealand,-29.27.00,-178.32.00,516,Stratovolcano,1,T,1,1,,,,,,,,,1
619,2006,6,7,,,Bulusan,Luzon-Philippines,Philippines,24.49.00,124.56.00,1535,Stratovolcano,2,,1,1,,,,,,,,,1
620,2006,6,14,,,Merapi,Java,Indonesia,-7.54.00,117.26.00,2910,Stratovolcano,1,P,2,1,,,,,,,,,1
621,2006,7,18,,,Tungurahua,Ecuador,Ecuador,-8.47.00,-85.22.00,5023,Stratovolcano,3,,1,1,,,,,,,,,1
622,2006,8,17,,,Tungurahua,Ecuador,Ecuador,-8.47.00,-85.22.00,5023,Stratovolcano,3,T,5,1,,2,13,1,,3,,3,10
623,2006,11,30,,,Mayon,Luzon-Philippines,Philippines,17.17,134.25.00,2462,Stratovolcano,1,m,1266,4,,,,,,1,,,5
624,2007,3,,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08.00,145.37.00,1807,Stratovolcano,4,M,4,1,,,1,1,,,,,2
625,2007,4,18,,,"Huila, Nevado del",Colombia,Colombia,3.33,-76.03.00,5364,Stratovolcano,,,,,,,,,,2,,1,3
626,2007,5,19,5758,,Ritter Island,New Guinea-NE of,Papua New Guinea,-13.39.00,149.55.00,75,Stratovolcano,1,"A,W",,,,,,,,1,,1,2
627,2007,7,7,,,Salak,Java,Indonesia,-17.56.00,118.13.00,2218,Stratovolcano,,G,6,1,,,,,,,,,1
628,2007,9,30,,,"Tair, Jebel at",Red Sea,Yemen,15.55,42.23.00,244,Stratovolcano,3,,7,1,,,1,1,,,,,2
629,2008,5,2,,,Chaiten,Chile-S,Chile,-55.55.00,-82.51.00,1122,Stratovolcano,,,1,1,,,,,,,,,1
630,2008,8,22,,,Tungurahua,Ecuador,Ecuador,-8.47.00,-85.22.00,5023,Stratovolcano,3,M,2,1,,,2,1,,1,2,1,4
631,2008,11,20,,,"Huila, Nevado del",Colombia,Colombia,3.33,-76.03.00,5364,Stratovolcano,,,10,1,,1,,1,,,,,3
632,2009,3,23,,,Redoubt,Alaska-SW,United States,68.05.00,-164.22.00,3108,Stratovolcano,,,,,,,,,,1,,,1
633,2009,11,30,,,Kilauea,Hawaiian Is,United States,26.01.00,-159.47.00,1222,Stratovolcano,,,,,,,,,,2,,,2
634,2010,1,,,,Tungurahua,Ecuador,Ecuador,-8.47.00,-85.22.00,5023,Stratovolcano,3,,,,,,,,,1,,,1
635,2010,3,31,,,Eyjafjallajokull,Iceland-S,Iceland,73.33.00,-29.33.00,1651,Stratovolcano,2,,2,1,,,,,,,,,1
636,2010,5,27,,,Pacaya,Guatemala,Guatemala,20.22,-100.01.00,2569,Stratovolcano,1,T,1,1,3,1,,,,1,3,1,4
637,2010,8,6,,,Karangetang,Sangihe Is-Indonesia,Indonesia,15.01,131.47.00,1797,Stratovolcano,3,,4,1,,,5,1,,,,1,3
638,2010,8,30,,,Sinabung,Sumatra,Indonesia,3.17,104.32.00,2460,Stratovolcano,,,2,1,,,,,,,,,1
639,2010,10,26,,,Merapi,Java,Indonesia,-7.54.00,117.26.00,2910,Stratovolcano,,,367,3,,,277,3,600,4,,3,13
640,2010,11,,,,Tungurahua,Ecuador,Ecuador,-8.47.00,-85.22.00,5023,Stratovolcano,3,,,,,,,,,1,,,1
641,2010,12,28,,,Tengger Caldera,Java,Indonesia,-22.42.00,113.35.00,2329,Stratovolcano,,,,,,,,,,1,,,1
642,2011,1,3,,,Merapi,Java,Indonesia,-7.54.00,117.26.00,2910,Stratovolcano,,M,1,1,,,1,1,,1,,,3
643,2011,1,28,,,Kirishimayama,Kyushu-Japan,Japan,46.34.00,144.22.00,1700,Stratovolcano,,,,,,,,1,,1,,,2
644,2011,2,23,,,Bulusan,Luzon-Philippines,Philippines,24.49.00,124.56.00,1535,Stratovolcano,2,,1,1,,,,,,,,,1
645,2011,3,18,,,Karangetang,Sangihe Is-Indonesia,Indonesia,15.01,131.47.00,1797,Stratovolcano,,,,,,,,,,1,,,1
646,2011,4,,,,Tungurahua,Ecuador,Ecuador,-8.47.00,-85.22.00,5023,Stratovolcano,4,,,,,,,,,1,,,1
647,2011,6,4,,,Puyehue-Cordon Caulle,Chile-C,Chile,-40.59.00,-73.57.00,2236,Stratovolcano,4,,,,,,,,,2,,,2
648,2011,6,22,,,Nabro,Africa-NE,Eritrea,13.37,41.7,2218,Stratovolcano,4,,31,1,,,,3,,1,,,5
649,2011,7,9,,,Katla,Iceland-S,Iceland,73.33.00,-20.23.00,1490,Stratovolcano,,,,,,,,,,1,,,1
650,2011,7,17,,,Lokon-Empung,Sulawesi-Indonesia,Indonesia,6.58,137.12.00,1580,Stratovolcano,,,1,1,,,,,,,,,1
651,2011,12,27,,,Gamalama,Halmahera-Indonesia,Indonesia,1.21,132.32.00,1714,Stratovolcano,3,m,4,1,,,,1,,,,,2
652,2012,2,10,,,Kilauea,Hawaiian Is,United States,26.01.00,-159.47.00,1222,Stratovolcano,,,,,,,,,,2,,,2
653,2012,3,2,,,Kilauea,Hawaiian Is,United States,26.01.00,-159.47.00,1222,Stratovolcano,,L,,,,,,,,1,1,1,2
654,2012,12,12,,,Tolbachik,Kamchatka,Russia,68.52.00,165.26.00,3611,Stratovolcano,,,,,,,,,,1,,,1
655,2013,2,12,,,Merapi,Java,Indonesia,-7.54.00,117.26.00,2910,Stratovolcano,,M,1,1,,,1,1,,1,,,3
656,2013,2,,,,Paluweh,Lesser Sunda Is,Indonesia,-8.32.00,132.48.00,875,Stratovolcano,,,,,,,,,,1,,1,2
657,2013,5,7,,,Mayon,Luzon-Philippines,Philippines,17.17,134.25.00,2462,Stratovolcano,,,5,1,,,8,1,,,,,2
658,2013,8,10,,,Paluweh,Lesser Sunda Is,Indonesia,-8.32.00,132.48.00,875,Stratovolcano,3,,5,1,,,,,,,,,1
659,2013,9,1,,,Ubinas,Peru,Peru,-21.45.00,-84.57.00,5608,Stratovolcano,,,,,,,,,,1,,,1
660,2013,9,4,,,Aira,Kyushu-Japan,Japan,40.37.00,140.59.00,1117,Stratovolcano,,,,,,,,,,1,,,1
661,2013,9,15,,,Sinabung,Sumatra,Indonesia,3.17,104.32.00,2460,Stratovolcano,2,,,,,,,,,2,,,2
662,2013,12,13,,,Okataina,New Zealand,New Zealand,-40.37.00,184.27.00,1111,Stratovolcano,,G,1,1,,,,,,,,,1
663,2014,2,1,,,Sinabung,Sumatra,Indonesia,3.17,104.32.00,2460,Stratovolcano,,,17,1,,,3,1,,1,,2,5
664,2014,2,13,,,Kelud,Java,Indonesia,-22.35.00,117.14.00,1730,Stratovolcano,,,7,1,,,,,,3,4098,4,8
665,2014,9,27,,,Ontakesan,Honshu-Japan,Japan,49.53.00,137.48.00,3067,Stratovolcano,3,,55,2,,,70,2,,,,,4
666,2014,11,10,,,Kilauea,Hawaiian Is,United States,26.01.00,-159.47.00,1222,Stratovolcano,,,,,,,,,14.5,3,1,1,4
667,2014,11,23,,,Fogo,Cape Verde Is,Cape Verde,15.35,-24.35.00,2829,Stratovolcano,,L,,,,,,,,2,230,3,5
668,2014,12,18,,,Gamalama,Halmahera-Indonesia,Indonesia,1.21,132.32.00,1714,Stratovolcano,,,1,1,,,4,1,,,,,2
669,2015,2,20,,,Sinabung,Sumatra,Indonesia,3.17,104.32.00,2460,Stratovolcano,,,,,,,,,,1,,1,2
670,2015,4,22,,,Calbuco,Chile-S,Chile,-41.33.00,-82.18.00,1974,Stratovolcano,,,,,,,,,,2,,2,4
671,2015,5,7,,,Karangetang,Sangihe Is-Indonesia,Indonesia,15.01,131.47.00,1797,Stratovolcano,,,,,,,,,,1,,1,2
672,2015,7,31,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08.00,145.37.00,1807,Stratovolcano,2,,,,,,2,1,,1,,,2
673,2015,10,16,,,Sinabung,Sumatra,Indonesia,3.17,104.32.00,2460,Stratovolcano,,M,1,1,,,,,,1,,,2
674,2015,10,,,,Okataina,New Zealand,New Zealand,-40.37.00,184.27.00,1111,Stratovolcano,,I,1,1,,,,,,,,,1
675,2016,5,9,,,Sinabung,Sumatra,Indonesia,3.17,104.32.00,2460,Stratovolcano,,,1,1,,,4,1,,1,3,1,4
676,2016,5,21,,,Sinabung,Sumatra,Indonesia,3.17,104.32.00,2460,Stratovolcano,,,7,1,,,3,1,100,4,,,6
677,2016,6,9,,,Yellowstone,US-Wyoming,United States,44.43.00,-111.07.00,2805,Stratovolcano,,,1,1,,,,,,,,,1
678,2016,9,27,,,Rinjani,Lesser Sunda Is,Indonesia,-8.42.00,116.47.00,3726,Stratovolcano,,,,,44,1,,,,,,,1
679,2016,10,8,,,Asosan,Kyushu-Japan,Japan,46.45.00,132.25.00,1592,Stratovolcano,,T,,,,,,,,1,,,1
680,2017,3,15,,,Etna,Italy,Italy,49.28.00,30.39.00,3357,Stratovolcano,,P,,,,,10,1,,,,,1
681,2017,4,13,,,Sinabung,Sumatra,Indonesia,3.17,104.32.00,2460,Stratovolcano,2,P,,,,,,,,1,,2,3
682,2017,6,6,,,Fuego,Guatemala,Guatemala,21.53,-91.28.00,3763,Stratovolcano,2,P,,,,,,,,2,,,2
683,2017,7,1,,,Dieng Volcanic Complex,Java,Indonesia,-7.2,123.39.00,2565,Stratovolcano,,,8,1,,,11,1,,,,,2
684,2017,9,12,,,Campi Flegrei,Italy,Italy,53.47.00,16.19,458,Stratovolcano,,,3,1,,,,,,,,,1
685,2017,9,23,,,Ambae,Vanuatu-SW Pacific,Vanuatu,-21.29.00,180.55.00,1496,Stratovolcano,,T,,,,,,,,1,,,1
686,2017,12,18,,,Merapi,Java,Indonesia,-7.54.00,117.26.00,2910,Stratovolcano,,A,8,1,,,8,1,,,,,2
687,2017,12,27,,,Sinabung,Sumatra,Indonesia,3.17,104.32.00,2460,Stratovolcano,,T,,,,,,,,2,,,2
688,2018,1,5,,,Kadovar,New Guinea-NE of,Papua New Guinea,-13.08.00,153.48.00,365,Stratovolcano,2,T,,,,,,,,1,,,1
689,2018,1,13,,,Mayon,Luzon-Philippines,Philippines,17.17,134.25.00,2462,Stratovolcano,2,"T,P",,,,,1972,4,12.24,2,,,6
690,2018,1,23,,,Kusatsu-Shiranesan,Honshu-Japan,Japan,46.18.00,146.48.00,2165,Stratovolcano,1,T,1,1,,,11,1,,1,,,3
691,2018,2,1,,,Kilauea,Hawaiian Is,United States,26.01.00,-159.47.00,1222,Stratovolcano,1,G,1,1,,,3,1,,,,,2
692,2018,3,21,,,Ijen,Java,Indonesia,-8.58.00,118.02.00,2769,Stratovolcano,,G,,,,,30,1,,,,,1
693,2018,3,30,,,Ambae,Vanuatu-SW Pacific,Vanuatu,-21.29.00,180.55.00,1496,Stratovolcano,3,"T,G,M",4,1,,,,,,2,,1,4
694,2018,4,28,5678,10332,Kilauea,Hawaiian Is,United States,26.01.00,-159.47.00,1222,Stratovolcano,1,L,,,,,1,1,370,4,716,3,8
695,2018,6,3,,,Fuego,Guatemala,Guatemala,21.53,-91.28.00,3763,Stratovolcano,2,P,201,3,229,3,27,1,120,4,186,3,14
696,2018,7,16,,,Kilauea,Hawaiian Is,United States,26.01.00,-159.47.00,1222,Stratovolcano,,T,,,,,23,1,1,1,,,2
697,2018,8,25,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08.00,145.37.00,1807,Stratovolcano,4,"L,T",,,,,,,,3,164,3,6
698,2018,12,15,,10382,Ambrym,Vanuatu-SW Pacific,Vanuatu,-16.25.00,168.12.00,1334,Stratovolcano,2,"S,T,G",,,,,,,,2,,1,3
699,2019,1,7,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08.00,145.37.00,1807,Stratovolcano,4,T,,,,,,,,1,,,1
700,2019,5,7,,,Sinabung,Sumatra,Indonesia,3.17,104.32.00,2460,Stratovolcano,4,T,,,,,,,,2,,,2
701,2019,6,26,,,Ulawun,New Britain-SW Pac,Papua New Guinea,-5.05.00,151.33.00,2334,Subglacial volcano,4,"P,T",,,,,2,1,14,3,,,4
702,2019,6,28,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08.00,145.37.00,1807,Subglacial volcano,4,"A,P,T",,,,,,,,2,,,2
703,2019,7,3,5913,,Stromboli,Italy,Italy,51.09.00,18.33,924,Subglacial volcano,2,"P,T,W",1,1,,,1,1,,,,,2
704,2019,12,9,,,Whakaari/White Island,New Zealand,New Zealand,-37.52.00,177.18.00,294,Subglacial volcano,2,T,22,1,,,25,1,,,,,2
705,2020,1,12,,,Taal,Luzon-Philippines,Philippines,14.11,136.38.00,311,Subglacial volcano,4,T,39,1,,,,,67,4,4573,4,9
706,2020,5,29,5748,10501,Ijen,Java,Indonesia,-8.58.00,118.02.00,2769,Subglacial volcano,,"G,W, S",1,1,,,,,,,,,1
707,2021,3,5,,,Sangay,Ecuador,Ecuador,-2.05.00,-83.41.00,5286,Subglacial volcano,2,T,,,,,,,,2,,,2
708,2021,3,,,,Pacaya,Guatemala,Guatemala,20.22,-100.01.00,2569,Subglacial volcano,1,"L,T",,,,,,,,1,,,1
709,2021,4,9,5905,,Soufriere St. Vincent,W Indies,St. Vincent & the Grenadines,13.33,-61.18.00,1220,Subglacial volcano,4,"T,W",,,,,,,325,4,,,4
710,2021,5,22,,10545,Nyiragongo,Africa-C,"Congo, DRC",-1.52.00,29.25.00,3470,Subglacial volcano,2,"L,I,S",32,1,,,,,,3,5000,4,8
711,2021,9,19,,,La Palma,Canary Is,Spain,28.57.00,-18.23.00,2426,Subglacial volcano,3,L,1,1,,,,,924,4,1345,4,9
712,2021,12,4,,,Semeru,Java,Indonesia,-9.48.00,127.22.00,3657,Subglacial volcano,4,T,51,1,9,1,169,3,20,3,2970,4,12
713,2022,1,15,5824,,Hunga Tonga-Hunga Ha'apai,Tonga-SW Pacific,Tonga,-29.13.00,-181.24.00,114,Subglacial volcano,5,W,,,,,,,17.12,3,,,3
714,2022,6,22,,,Popocatepetl,Mexico,Mexico,19.23,-108.22.00,5393,Submarine volcano,2,P,1,1,,,,,,,,,1
715,2022,12,4,,,Semeru,Java,Indonesia,-9.48.00,127.22.00,3657,Submarine volcano,4,"T,M",,,,,,,,1,,,1
716,2023,7,7,,,Bagana,Bougainville-SW Paci,Papua New Guinea,-8.17.00,158.16.00,1855,Submarine volcano,2,"T,G",,,,,,,,1,,1,2
717,2023,12,3,,,Marapi,Sumatra,Indonesia,-0.38.00,107.54.00,2885,Submarine volcano,,"P,T",23,1,0,,12,1,,,,,2
718,2023,12,18,,,Reykjanes,Iceland-SW,Iceland,76.37.00,-33.57.00,140,Tuff cone,,"S,L",1,1,,,,,,2,3,1,4
719,2024,4,16,,,Ruang,Sangihe Is-Indonesia,Indonesia,2.3,125.37.00,725,Tuff cone,,,,,,,,,15.5,3,3200,4,7
720,2024,4,20,,,Ijen,Java,Indonesia,-8.58.00,118.02.00,2769,Tuff cone,,,1,1,,,,,,,,,1
721,2024,5,11,,,Marapi,Sumatra,Indonesia,-0.38.00,107.54.00,2885,Tuff cone,2,M,67,2,20,1,33,1,,3,521,3,10
722,2024,6,3,,,Kanlaon,Philippines-C,Philippines,10.41,123.13.00,2422,Volcanic field,3,"M,G,T",,,,,,,2.5,2,2680,4,6
723,2024,11,3,,,Lewotobi,Lesser Sunda Is,Indonesia,-17.02.00,134.55.00,1703,Volcanic field,,"T,P,L",9,1,,,64,,,,23,1,2
724,2024,12,9,,,Kanlaon,Philippines-C,Philippines,10.41,123.13.00,2422,Volcanic field,2,"T,P",,0,,,,,2.2,2,1,1,3
